DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3  **
10 14 30 EC 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3  **
85 81 94 DD 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
30 34 50 AC 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
2F 2B 71 92 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
46 42 CA 40 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
AB AF E6 81 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
27 23 69 82 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
52 56 F6 68 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F 30 86 E7 24 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F FC C9 64 E8 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F AC 39 C4 B8 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F BF 0C E2 AB 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F D0 BD 3C C4 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F B7 14 F2 A3 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F 69 6D 55 7D 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F 95 72 B6 81 1F 01 0F 04 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F 1C 03 0E 05 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F 46 6F 38 33 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F BB 30 9A 91 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F CB 99 43 48 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F 23 29 1B 10 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F E0 AB 5A 51 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F 0F E8 F6 FD 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F 0D 1D 01 0A 57 90 A2 D3 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 35 A1 93 80 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 03 BA 88 AD 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 E0 46 74 B2 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 AD ED DF 54 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 E6 45 77 B7 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 04 34 06 24 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 23 AA 98 9D 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 00 36 04 22 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 34 F3 07 15  **
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 ED 2A 77 BC 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 F7 30 59 88 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 5E 99 B9 C1 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 D5 12 3F CC 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 51 96 A8 DF 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 7B BC D6 8B 
DC D8 7F 6F 9B 60 AA 8F 1F 01 0F 04 A3 64 A5 20 
7F 26 22 CC 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
75 38 36 C6 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
07 AE D2 B4 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
21 C4 9E 92 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
EE 8E 1B 5D 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
13 92 FA A0 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
79 2C 2E CA 9B 60 AA 8F 1F 01 0F 04 57 90 A2 D3 
